,id,desc,term,source,url
0,tgm007029,Visual materials from the Frederick Albert Cook papers,Negatives,https://www.loc.gov/pictures/item/99472033/,https://tile.loc.gov/storage-services/service/pnp/ppmsca/38400/38431_150px.jpg
1,tgm004561,U.S.C.P. policeman,Glass negatives,https://www.loc.gov/pictures/item/2016713021/,https://tile.loc.gov/storage-services/service/pnp/bellcm/25500/25583r.jpg
2,tgm004561,Dr. Sarah M. Hobson,Glass negatives,https://www.loc.gov/pictures/item/2014714646/,https://tile.loc.gov/storage-services/service/pnp/ggbain/34400/34494r.jpg
3,tgm004561,King and Queen Jugoslavia [i.e. Yugoslavia],Glass negatives,https://www.loc.gov/pictures/item/2014714660/,https://tile.loc.gov/storage-services/service/pnp/ggbain/34500/34508r.jpg
4,tgm004561,London Strike gates of Great East India dock; closed,Glass negatives,https://www.loc.gov/pictures/item/   ggb2004009510/,https://tile.loc.gov/storage-services/service/pnp/ggbain/09500/09510r.jpg
5,tgm004561,Coasting - Central Park,Glass negatives,https://www.loc.gov/pictures/item/   ggb2005015381/,https://tile.loc.gov/storage-services/service/pnp/ggbain/15300/15373r.jpg
6,tgm004561,"Templehofer Field, Berlin plowed for potatoes",Glass negatives,https://www.loc.gov/pictures/item/   ggb2005019002/,https://tile.loc.gov/storage-services/service/pnp/ggbain/19000/19015r.jpg
7,tgm004561,Astor Market - Demonstrating Coffee,Glass negatives,https://www.loc.gov/pictures/item/   ggb2005020151/,https://tile.loc.gov/storage-services/service/pnp/ggbain/20100/20158r.jpg
8,tgm004561,"Concert Cen. [i.e., Central Park]",Glass negatives,https://www.loc.gov/pictures/item/  ggb2005022418/,https://tile.loc.gov/storage-services/service/pnp/ggbain/22400/22420r.jpg
9,tgm004561,R.P. Hobson,Glass negatives,https://www.loc.gov/pictures/item/ ggb2005021108/,https://tile.loc.gov/storage-services/service/pnp/ggbain/21100/21111r.jpg
10,tgm004561,Gen. Philip Newton,Glass negatives,https://www.loc.gov/pictures/item/ ggb2005021438/,https://tile.loc.gov/storage-services/service/pnp/ggbain/21400/21441r.jpg
11,tgm004561,Dr. Wilfrid Grenfell & wife,Glass negatives,https://www.loc.gov/pictures/item/ ggb2005021478/,https://tile.loc.gov/storage-services/service/pnp/ggbain/21400/21481r.jpg
12,tgm004561,"[The Belgica, icebound, during the Belgian antarctic expedition, with penguins in the foreground]",Glass negatives,https://www.loc.gov/pictures/item/2001695708/,https://tile.loc.gov/storage-services/service/pnp/cph/3c20000/3c28000/3c28000/3c28021_150px.jpg
13,tgm004561,[Iceberg],Glass negatives,https://www.loc.gov/pictures/item/2001695710/,https://tile.loc.gov/storage-services/service/pnp/cph/3c20000/3c28000/3c28000/3c28023_150px.jpg
14,tgm004561,"[Rudolph Franke, three-quarter length portrait, standing, facing front, smoking pipe, aboard ship during polar expedition]",Glass negatives,https://www.loc.gov/pictures/item/2001695711/,https://tile.loc.gov/storage-services/service/pnp/cph/3c20000/3c28000/3c28000/3c28024_150px.jpg
15,tgm004561,"W.G. Krueger - air ship Patented Jan. 31, 1882 /",Glass negatives,https://www.loc.gov/pictures/item/2001699880/,https://tile.loc.gov/storage-services/service/pnp/cph/3c20000/3c28000/3c28800/3c28809_150px.jpg
